File,Section,#,Title,DOI,Authors/Attribution,Journal/Year,Status,Notes
steady_fasting_tool_demo.html,Foundational Papers,FP-03,"Canonical and noncanonical autophagy: involvement in PD",https://doi.org/10.1002/cne.25771,,2025?,UNVERIFIED,Journal prefix cne is J Comp Neurology — unusual for autophagy review. Check
steady_fasting_tool_demo.html,Foundational Papers,FP-04,The promise of GLP-1 receptor agonists for neurodegenerative diseases,https://doi.org/10.1172/JCI194745,,JCI 2025?,UNVERIFIED,JCI prefix correct; article number very high — likely recent. Check
steady_fasting_tool_demo.html,Foundational Papers,FP-05,Autophagic stress activates distinct compensatory secretory pathways in neurons,https://doi.org/10.1073/pnas.2421886122,,PNAS 2025?,UNVERIFIED,PNAS prefix correct; article number high — likely 2025. Check
steady_fasting_tool_demo.html,Foundational Papers,FP-06,"Autophagy and Cellular Senescence in Alzheimer's: Key Drivers",https://doi.org/10.1111/cns.70503,,CNS Neurosci Ther 2025?,UNVERIFIED,cns prefix matches CNS Neuroscience & Therapeutics. Check
steady_fasting_tool_demo.html,Foundational Papers,FP-07,Secretory autophagy,https://doi.org/10.1016/j.ceb.2015.04.016,,Current Opinion in Cell Biology 2015,LIKELY,DOI format matches Elsevier COCB; well-known topic paper
steady_fasting_tool_demo.html,Foundational Papers,FP-08,Immunologic manifestations of autophagy,https://doi.org/10.1172/JCI73945,,JCI,LIKELY,JCI prefix correct
steady_fasting_tool_demo.html,Foundational Papers,FP-09,Precision autophagy directed by receptor regulators — TRIM family,https://doi.org/10.1016/j.autrev.2017.03.001,,Autoimmunity Reviews 2017,SUSPECT,"autrev = Autoimmunity Reviews — but topic is autophagy not autoimmunity. Title may not match DOI"
steady_fasting_tool_demo.html,Foundational Papers,FP-10,"Macroautophagy: degradation of intracytoplasmic contents",https://doi.org/10.1084/jem.20150956,,J Exp Medicine,LIKELY,JEM prefix correct
steady_fasting_tool_demo.html,Foundational Papers,FP-11,"Mapping autophagosome contents identifies IL-7Rα as key cargo",https://doi.org/10.1038/s41467-022-32718-x,,Nature Communications 2022,LIKELY,s41467 = Nature Comms; plausible
steady_fasting_tool_demo.html,Foundational Papers,FP-12,Gut Microbiota in Autophagy Regulation — Neurodegeneration,https://doi.org/10.3390/life13040957,,Life (MDPI) 2023,LIKELY,3390/life = MDPI Life journal; plausible
steady_fasting_tool_demo.html,Foundational Papers,FP-13,Global trends in mitophagy on neurodegenerative diseases,https://doi.org/10.3389/fmed.2025.1666909,,Frontiers in Medicine 2025,UNVERIFIED,Frontiers prefix correct; 2025 — check
steady_fasting_tool_demo.html,Foundational Papers,FP-14,Development and Synthesis of Biologically Active Compounds,https://doi.org/10.3390/ijms25074015,,IJMS (MDPI) 2025?,SUSPECT,"Title seems generic / unrelated to autophagy or PD. Likely wrong paper for this context"
steady_fasting_tool_demo.html,Foundational 60 — Ohsumi,P1,Tsukada & Ohsumi — Isolation of autophagy-defective mutants,https://doi.org/10.1016/0014-5793(93)80398-E,"Tsukada & Ohsumi",FEBS Letters 1993,LIKELY,DOI format matches 1993 FEBS; landmark paper
steady_fasting_tool_demo.html,Foundational 60 — Ohsumi,P2,Mizushima & Ohsumi — Dissection of the ATG gene system,https://doi.org/10.1016/S0014-5793(01)02533-6,"Mizushima & Ohsumi",FEBS Letters 2001,LIKELY,DOI format matches FEBS
steady_fasting_tool_demo.html,Foundational 60 — Ohsumi,P3,Nakatogawa & Ohsumi — Dynamics and diversity in autophagy,https://doi.org/10.1038/nrm2708,"Nakatogawa & Ohsumi",Nature Reviews MCB 2009,LIKELY,nrm prefix = Nature Reviews MCB; plausible
steady_fasting_tool_demo.html,Foundational 60 — Ohsumi,P4,Ohsumi — Historical landmarks of autophagy research,https://doi.org/10.1038/cr.2013.153,Ohsumi,Cell Research 2014,VERIFIED,Well-known Nobel laureate review
steady_fasting_tool_demo.html,Foundational 60 — Cuervo,P1,Cuervo et al. — Impaired degradation of mutant α-synuclein by CMA,https://doi.org/10.1126/science.1101738,"Cuervo et al.",Science 2004,VERIFIED,Landmark CMA-PD paper; DOI format matches Science
steady_fasting_tool_demo.html,Foundational 60 — Cuervo,P2,Massey & Cuervo — CMA as defense against oxidative stress,https://doi.org/10.1091/mbc.e05-02-0119,"Massey & Cuervo",Mol Biol Cell 2006,LIKELY,mbc prefix correct
steady_fasting_tool_demo.html,Foundational 60 — Cuervo,P3,Kaushik & Cuervo — The coming of age of CMA,https://doi.org/10.1038/s41580-018-0001-6,"Kaushik & Cuervo",Nature Reviews MCB 2018,VERIFIED,Well-known review; s41580 = Nature Reviews MCB
steady_fasting_tool_demo.html,Foundational 60 — Cuervo,P4,Schneider & Cuervo — Autophagy and the aging brain,https://doi.org/10.1101/lm.036210.114,"Schneider & Cuervo",Learning & Memory 2014,SUSPECT,"lm prefix = Learning & Memory (Cold Spring Harbor). Title is about autophagy not learning — could be correct journal but unusual venue. Check"
steady_fasting_tool_demo.html,Foundational 60 — Kroemer,P1,López-Otín & Kroemer — The Hallmarks of Aging,https://doi.org/10.1016/j.cell.2013.05.039,"López-Otín et al.",Cell 2013,VERIFIED,Landmark paper; widely cited; DOI confirmed
steady_fasting_tool_demo.html,Foundational 60 — Kroemer,P2,Rubinsztein & Kroemer — Autophagy and Aging,https://doi.org/10.1016/j.cell.2011.07.030,"Rubinsztein et al.",Cell 2011,LIKELY,Cell DOI prefix correct; plausible
steady_fasting_tool_demo.html,Foundational 60 — Kroemer,P3,Madeo & Kroemer — Spermidine in health and disease,https://doi.org/10.1126/science.aan2788,"Madeo et al.",Science 2018,VERIFIED,Well-known paper; DOI format matches Science
steady_fasting_tool_demo.html,Foundational 60 — Kroemer,P4,Galluzzi & Kroemer — Autophagy in malignant transformation,https://doi.org/10.15252/embj.201695774,"Galluzzi et al.",EMBO Journal 2017,LIKELY,embj prefix = EMBO Journal; plausible
steady_fasting_tool_demo.html,Foundational 60 — Panda,P1,Hatori & Panda — TRF prevents metabolic diseases,https://doi.org/10.1016/j.cmet.2012.04.019,"Hatori et al.",Cell Metabolism 2012,VERIFIED,Landmark TRF paper; DOI format matches
steady_fasting_tool_demo.html,Foundational 60 — Panda,P2,Chaix & Panda — TRF as preventative intervention,https://doi.org/10.1016/j.cmet.2014.11.001,"Chaix et al.",Cell Metabolism 2014,LIKELY,cmet prefix correct
steady_fasting_tool_demo.html,Foundational 60 — Panda,P3,Zarrinpar & Panda — Diet and diurnal rhythm of gut microbiome,https://doi.org/10.1016/j.cmet.2014.11.008,"Zarrinpar et al.",Cell Metabolism 2014,SUSPECT,"Two Panda Cell Metabolism papers in same Nov 2014 issue (P2 and P3)? Possible but unusual. The Zarrinpar gut microbiome paper might actually be in a different journal (Dec 2014 Cell Metabolism). Check"
steady_fasting_tool_demo.html,Foundational 60 — Panda,P4,Manoogian & Panda — TRE in metabolic syndrome patients,https://doi.org/10.1016/j.cmet.2019.11.004,"Manoogian et al.",Cell Metabolism 2019,LIKELY,cmet prefix correct; well-known TRE trial
steady_fasting_tool_demo.html,Foundational 60 — Dorsey,P1,Dorsey & Bloem — The Emerging Evidence of the Parkinson Pandemic,https://doi.org/10.3233/JPD-181474,"Dorsey & Bloem",J Parkinson's Disease 2018,VERIFIED,Well-known paper; JPD prefix correct
steady_fasting_tool_demo.html,Foundational 60 — Dorsey,P2,Dorsey et al. — Personalized telemedicine for PD,https://doi.org/10.1212/WNL.0b013e318294f4db,"Dorsey et al.",Neurology 2013,LIKELY,WNL prefix = Neurology; plausible
steady_fasting_tool_demo.html,Foundational 60 — Dorsey,P3,MISSING — Dorsey 2020 Ending PD book,N/A,"Dorsey et al.",PublicAffairs 2020,MISSING,"Book not paper — no DOI exists. Currently no P3 link in the HTML"
steady_fasting_tool_demo.html,Foundational 60 — Dorsey,P4,Dorsey et al. — TCE: An Invisible Cause of PD?,https://doi.org/10.1021/acschemneuro.1c00596,"Dorsey et al.",ACS Chem Neuroscience 2021,VERIFIED,Well-known paper; acschemneuro prefix correct
steady_fasting_tool_demo.html,Foundational 60 — Phillips,P1,Phillips et al. — Low-fat vs ketogenic diet in PD,https://doi.org/10.1002/mds.27432,"Phillips et al.",Movement Disorders 2018,VERIFIED,Same paper as FP-01 and dose demo #10
steady_fasting_tool_demo.html,Foundational 60 — Phillips,P2,Phillips — Fasting as a Therapy in Neurological Disease,https://doi.org/10.3390/nu11102501,Phillips,Nutrients 2019,LIKELY,3390/nu = MDPI Nutrients; plausible
steady_fasting_tool_demo.html,Foundational 60 — Phillips,P3,Phillips — Metabolic strategies in neurodegeneration,https://doi.org/10.1111/jnc.15471,Phillips,J Neurochemistry 2021,LIKELY,jnc prefix = J Neurochemistry; plausible
steady_fasting_tool_demo.html,Foundational 60 — Phillips,P4,"Phillips — MCI: metabolic flexibility and mitochondrial efficiency",https://doi.org/10.3389/fnagi.2017.00219,Phillips,Frontiers Aging Neuroscience 2017,LIKELY,fnagi prefix correct
steady_fasting_tool_demo.html,Foundational 60 — Mattson,P1,Anson & Mattson — IF dissociates glucose metabolism and neuronal resistance,https://doi.org/10.1073/pnas.0631572100,"Anson et al.",PNAS 2003,VERIFIED,Landmark IF paper; PNAS DOI format correct
steady_fasting_tool_demo.html,Foundational 60 — Mattson,P2,Stranahan & Mattson — Recruiting adaptive stress responses for brain aging,https://doi.org/10.1038/nrn3151,"Stranahan & Mattson",Nature Reviews Neuroscience 2012,LIKELY,nrn prefix = Nature Reviews Neuroscience
steady_fasting_tool_demo.html,Foundational 60 — Mattson,P3,"Mattson et al. — Intermittent metabolic switching, neuroplasticity, brain health",https://doi.org/10.1038/nrn.2017.156,"Mattson et al.",Nature Reviews Neuroscience 2018,VERIFIED,Well-known paper; nrn prefix correct
steady_fasting_tool_demo.html,Foundational 60 — Mattson,P4,Mattson — Lifelong brain health is a lifelong challenge,https://doi.org/10.1016/j.arr.2014.12.011,Mattson,Ageing Research Reviews 2015,LIKELY,arr prefix = Ageing Research Reviews; plausible
steady_fasting_tool_demo.html,Foundational 60 — Longo,P1,Brandhorst & Longo — FMD promotes multi-system regeneration,https://doi.org/10.1016/j.cmet.2015.05.012,"Brandhorst et al.",Cell Metabolism 2015,VERIFIED,Landmark FMD paper; widely cited
steady_fasting_tool_demo.html,Foundational 60 — Longo,P2,Longo & Mattson — Fasting: Molecular Mechanisms and Clinical Applications,https://doi.org/10.1016/j.cmet.2013.12.008,"Longo & Mattson",Cell Metabolism 2014,VERIFIED,Landmark review; widely cited
steady_fasting_tool_demo.html,Foundational 60 — Longo,P3,"Wei & Longo — FMD and markers for aging, diabetes, cancer, CVD",https://doi.org/10.1126/scitranslmed.aai8700,"Wei et al.",Science Translational Medicine 2017,VERIFIED,scitranslmed prefix correct; well-known paper
steady_fasting_tool_demo.html,Foundational 60 — Longo,P4,Di Francesco & Longo — A Time to Fast,https://doi.org/10.1126/science.aau2095,"Di Francesco & Longo",Science 2018,SUSPECT,"DOI aau2095 vs the code shows aau2095 — check exact DOI. The Science 2018 'A Time to Fast' by Longo is real but the exact DOI suffix needs verification"
steady_fasting_tool_demo.html,Foundational 60 — Cooper,P1,Cooper et al. — IF and metabolic health: molecular mechanisms to clinical outcomes,https://doi.org/10.1017/S0007114519002745,"Cooper et al.",British J Nutrition 2020,LIKELY,S0007114 prefix = BJN (Cambridge UP); plausible
steady_fasting_tool_demo.html,Foundational 60 — Cooper,P2,Cooper et al. — Insulin and glucagon in autophagy regulation,https://doi.org/10.1530/JOE-21-0123,"Cooper et al.",J Endocrinology 2021,LIKELY,JOE prefix = J Endocrinology; plausible
steady_fasting_tool_demo.html,Foundational 60 — Cooper,P3,Cooper et al. — KetoSAge: ketones in cellular senescence,https://doi.org/10.3390/cells12131760,"Cooper et al.",MDPI Cells 2023,LIKELY,3390/cells = MDPI Cells journal; plausible
steady_fasting_tool_demo.html,Foundational 60 — Cooper,P4,MISSING — Cooper 2022 metabolic disease Nature Metabolism Review,N/A,Cooper,Nature Metabolism 2022,MISSING,"Foundational 15x4 doc lists this paper but no link in the HTML"
steady_fasting_tool_demo.html,Foundational 60 — Seyfried,P1,Seyfried & Shelton — Cancer as a metabolic disease,https://doi.org/10.1186/1743-7075-7-7,"Seyfried & Shelton",Nutrition & Metabolism 2010,VERIFIED,Landmark paper; DOI format matches N&M
steady_fasting_tool_demo.html,Foundational 60 — Seyfried,P2,Seyfried et al. — Mitochondrial dysfunction in cancer,https://doi.org/10.1038/nrc3365,"Seyfried et al.",Nature Reviews Cancer 2012,SUSPECT,"nrc3365 — Nature Reviews Cancer prefix correct, but the actual Seyfried NRC paper may have a different article number. Check"
steady_fasting_tool_demo.html,Foundational 60 — Seyfried,P3,Seyfried et al. — Metabolic management of cancer with ketogenic diets,https://doi.org/10.1017/S0007114513003030,"Seyfried et al.",British J Nutrition 2014,LIKELY,BJN prefix correct; plausible
steady_fasting_tool_demo.html,Foundational 60 — Seyfried,P4,Seyfried et al. — Personalized Metabolic Therapy for Cancer,https://doi.org/10.3390/jcm10163599,"Seyfried et al.",J Clinical Medicine 2021,LIKELY,3390/jcm = MDPI J Clinical Medicine; plausible
steady_fasting_tool_demo.html,Foundational 60 — Gundry,P1,Gundry — Improved survival of cardiac transplant patients with dietary intervention,https://doi.org/10.1016/S1053-2498(01)00406-X,Gundry,J Heart & Lung Transplantation 2001,LIKELY,S1053-2498 prefix = JHLT; plausible
steady_fasting_tool_demo.html,Foundational 60 — Gundry,P2-P4,MISSING — Gundry P2/P3/P4 papers,N/A,Gundry,Various,MISSING,"Only P1 has a DOI link in the HTML. P2-P4 need links added"
steady_fasting_tool_demo.html,Foundational 60 — Scher,P1-P4,MISSING — Bret Scher P1-P4 papers,N/A,Scher,Various,MISSING,"No DOI links found for any Scher papers in the HTML"
steady_fasting_tool_demo.html,Foundational 60 — Myers,P1-P4,MISSING — Toshia Myers P1-P4 papers,N/A,Myers,Various,MISSING,"No DOI links found for any Myers papers in the HTML"
steady_fasting_tool_demo.html,Foundational 60 — Cunnane,P1,Cunnane et al. — PET Imaging of Brain Ketone Uptake,https://doi.org/10.1038/jcbfm.2010.177,"Cunnane et al.",J Cerebral Blood Flow & Metabolism 2011,LIKELY,jcbfm prefix correct
steady_fasting_tool_demo.html,Foundational 60 — Cunnane,P2,Cunnane et al. — Can Ketones Help Rescue Brain Fuel Supply?,https://doi.org/10.1139/apnm-2015-0407,"Cunnane et al.",Applied Physiology Nutrition Metabolism 2016,LIKELY,apnm prefix correct
steady_fasting_tool_demo.html,Foundational 60 — Cunnane,P3,Cunnane et al. — Ketogenic drink improves brain energy in MCI,https://doi.org/10.1016/j.jalz.2019.01.001,"Cunnane et al.","Alzheimer's & Dementia 2019",LIKELY,jalz prefix = Alzheimer's & Dementia; plausible
steady_fasting_tool_demo.html,Foundational 60 — Cunnane,P4,Cunnane et al. — Brain Energy Rescue with Ketones in MCI,https://doi.org/10.1002/alz.12137,"Cunnane et al.","Alzheimer's & Dementia 2020",LIKELY,alz prefix = newer Alzheimer's & Dementia DOI format
steady_fasting_tool_demo.html,Foundational 60 — Goldhamer,P1,Goldhamer et al. — Water-only fasting in treatment of hypertension,https://doi.org/10.1067/mmt.2001.118208,"Goldhamer et al.",JMPT 2001,LIKELY,mmt prefix = JMPT (Elsevier); plausible
steady_fasting_tool_demo.html,Foundational 60 — Goldhamer,P2,Goldhamer et al. — Water-only fasting in borderline hypertension,https://doi.org/10.1067/mmt.2002.122155,"Goldhamer et al.",JMPT 2002,LIKELY,Same journal as P1; plausible
steady_fasting_tool_demo.html,Foundational 60 — Goldhamer,P3,Goldhamer et al. — Safety of water-only fasting: 2000 patients,https://doi.org/10.1515/jcim-2013-0007,"Goldhamer et al.",J Comp & Integrative Medicine 2015,LIKELY,jcim prefix matches; plausible
steady_fasting_tool_demo.html,Foundational 60 — Goldhamer,P4,MISSING — Goldhamer 2024 fasting on human proteome,N/A,Goldhamer,Nature Communications (in review),MISSING,"Listed in the Foundational 15x4 doc as 'in review' — no published DOI yet"
steady_fasting_tool_demo.html,Metabolic Therapy,MT-01,Phillips et al. — TRK diet in ALS: a case study,https://doi.org/10.3390/nu16030338,"Phillips et al.",Nutrients 2024,LIKELY,MDPI Nutrients prefix correct
steady_fasting_tool_demo.html,Metabolic Therapy,MT-02,"Phillips et al. — TRK Diet in Huntington's Disease: A Case Study",https://doi.org/10.3389/fneur.2022.931530,"Phillips et al.",Frontiers in Neurology 2022,LIKELY,fneur prefix correct
steady_fasting_tool_demo.html,Metabolic Therapy,MT-03,Dietary Restriction against PD: What We Know So Far,https://doi.org/10.3390/nu14194105,,Nutrients 2022,LIKELY,MDPI Nutrients prefix correct
steady_fasting_tool_demo.html,Metabolic Therapy,MT-04,"Impact of Resistance Training on Skeletal Muscle Mitochondrial Biogenesis, Content, and Function",https://doi.org/10.3389/fphys.2017.00713,,Frontiers in Physiology 2017,LIKELY,fphys prefix correct
steady_fasting_tool_demo.html,Metabolic Therapy,MT-05,The role of β-hydroxybutyrate testing in ketogenic metabolic therapies,https://doi.org/10.3389/fnut.2025.1547313,,Frontiers in Nutrition 2025,UNVERIFIED,fnut prefix correct; 2025 — check
steady_fasting_tool_demo.html,Metabolic Therapy,MT-06,Ketogenic diets and neurological conditions,https://doi.org/10.12968/bjnn.2023.19.3.104,,British J Neuroscience Nursing 2023,LIKELY,bjnn prefix matches
steady_fasting_tool_demo.html,Metabolic Therapy,MT-07,"Ketogenic Diet Impact on Depression and Psychological Wellbeing: An RCT",https://doi.org/10.1016/j.jad.2024.09.098,,J Affective Disorders 2024,LIKELY,jad prefix = J Affective Disorders (Elsevier)
